"","PointName","DaysAfterN","BACS.PA","AREA","Route","Observer","TIME","Temp","Wind","Cloud","pcode","dsb"
"18.746","K7",3774,0,0,"LK",11,454,62,3,0,"18","51"
"18.747","K7",4136,0,0,"LK",11,635,68,2,15,"18","413"
"18.748","K7",4137,1,0,"LK",11,381,44,0,0,"18","414"
"18.749","K7",4143,1,0,"LK",11,596,70,0,100,"18","420"
"18.750","K7",4499,0,0,"LK",4,585,75,0,70,"18","36"
"18.751","K7",4505,0,0,"LK",11,477,60,0,20,"18","42"
"18.752","K7",4506,1,0,"LK",4,461,66,5,10,"18","43"
"18.753","K7",4869,0,0,"LK",11,489,68,2.5,100,"18","406"
"18.754","K7",4871,0,0,"LK",16,569,72,7,0,"18","408"
"18.755","K7",4872,0,0,"LK",16,582,72,4,0,"18","409"
"18.756","K7",5227,0,0,"LK",11,496,51,3,100,"18","46"
"18.757","K7",5229,0,0,"LK",16,540,65,5,80,"18","48"
"18.758","K7",5235,1,0,"LK",4,575,64,0,100,"18","54"
"18.759","K7",5593,0,0,"LK",4,540,57,2,0,"18","412"
"18.760","K7",5594,0,0,"LK",13,594,63,2,0,"18","413"
"18.761","K7",5597,0,0,"LK",12,479,65,0,80,"18","416"
"18.762","K7",5969,1,0,"LK",1,445,60,0,0,"18","788"
"18.763","K7",5972,0,0,"LK",5,482,64,1,0,"18","791"
"19.772","K9",3042,0,0,"LK",7,484,65,0,0,"19","1166"
"19.773","K9",3044,0,0,"LK",7,596,72,3,0,"19","1168"
"19.774","K9",3052,0,0,"LK",7,476,64,0,100,"19","1176"
"19.775","K9",3400,0,0,"LK",3,465,60.3,1,100,"19","334"
"19.776","K9",3404,0,0,"LK",3,560,78.4,2,0,"19","338"
"19.777","K9",3408,0,0,"LK",3,454,43,0,0,"19","342"
"19.778","K9",3770,0,0,"LK",11,475,62,0,0,"19","47"
"19.779","K9",3772,0,0,"LK",11,552,69,2,0,"19","49"
"19.780","K9",3774,0,0,"LK",11,468,63,2,0,"19","51"
"19.781","K9",4135,0,0,"LK",11,578,66,5,0,"19","412"
"19.782","K9",4137,0,0,"LK",11,371,44,0,0,"19","414"
"19.783","K9",4143,0,0,"LK",11,586,70,0,100,"19","420"
"19.784","K9",4499,0,0,"LK",4,603,76,0,85,"19","36"
"19.785","K9",4505,0,0,"LK",11,463,59,0,20,"19","42"
"19.786","K9",4506,0,0,"LK",4,450,66,4,20,"19","43"
"19.787","K9",4869,0,0,"LK",11,503,68,5,100,"19","406"
"19.788","K9",4871,0,0,"LK",16,584,75,7,0,"19","408"
"19.789","K9",4872,0,0,"LK",16,570,70,5,0,"19","409"
"19.790","K9",5227,0,0,"LK",11,515,51,5,100,"19","46"
"19.791","K9",5229,0,0,"LK",16,553,65,3,100,"19","48"
"19.792","K9",5235,0,0,"LK",4,564,64,3,100,"19","54"
"19.793","K9",5593,0,0,"LK",4,564,57,1,0,"19","412"
"19.794","K9",5594,0,0,"LK",13,575,60,1,5,"19","413"
"19.795","K9",5597,0,0,"LK",12,501,66,0,80,"19","416"
"19.796","K9",5969,0,0,"LK",1,432,58,0,0,"19","788"
"19.797","K9",5972,0,0,"LK",5,500,64,4,0,"19","791"
"2.44","J12",3043,1,0,"JR",2,531,75,0,0,"2","371"
"2.45","J12",3049,0,0,"JR",2,572,58,4,0,"2","377"
"2.46","J12",3053,0,0,"JR",2,494,65,0,0,"2","381"
"2.47","J12",3399,1,0,"JR",9,535,60,1,70,"2","39"
"2.48","J12",3401,0,0,"JR",9,555,70,2,95,"2","41"
"2.49","J12",3407,0,0,"JR",9,505,50,5,5,"2","47"
"2.50","J12",3771,0,0,"JR",8,507,66,2,0,"2","411"
"2.51","J12",3773,0,0,"JR",8,503,61,3,100,"2","413"
"2.52","J12",3779,0,0,"JR",8,483,67,0,90,"2","419"
"2.53","J12",4498,0,0,"JR",11,415,68,0,100,"2","305"
"2.54","J12",4500,0,0,"JR",16,486,73,5,100,"2","307"
"2.55","J12",4505,0,0,"JR",4,565,73,3,25,"2","312"
"2.56","J12",4869,1,0,"JR",4,426,65,5,100,"2","33"
"2.57","J12",4870,1,0,"JR",11,408,69,2.5,69,"2","34"
"2.58","J12",4871,0,0,"JR",6,554,69,6,20,"2","35"
"2.59","J12",5227,0,0,"JR",10,442,50,5,100,"2","391"
"2.60","J12",5229,0,0,"JR",11,421,58,1,77,"2","393"
"2.61","J12",5237,0,0,"JR",16,429,58,10,100,"2","401"
"2.62","J12",5593,0,0,"JR",13,433,47,0,0,"2","757"
"2.63","J12",5594,0,0,"JR",12,590,70,5,0,"2","758"
"2.64","J12",5601,0,0,"JR",16,423,55,0,20,"2","765"
"2.65","J12",5969,0,0,"JR",5,645,74,1,1,"2","29"
"2.66","J12",5970,0,0,"JR",16,423,55,0,0,"2","30"
"2.67","J12",5971,0,0,"JR",1,412,65,0,85,"2","31"
"20.843","L12",3042,1,0,"LK",4,505,67,2,0,"20","62"
"20.844","L12",3044,1,0,"LK",4,521,65,3,10,"20","64"
"20.845","L12",3052,1,0,"LK",4,486,65,0,100,"20","72"
"20.846","L12",3400,0,0,"LK",4,524,60,3,100,"20","420"
"20.847","L12",3402,0,0,"LK",4,551,70,1,10,"20","422"
"20.848","L12",3408,1,0,"LK",4,487,53,0,0,"20","428"
"20.849","L12",3771,1,0,"LK",4,516,66,1,0,"20","262"
"20.850","L12",3773,1,0,"LK",4,499,61,2,100,"20","264"
"20.851","L12",3779,0,0,"LK",4,499,68,0,90,"20","270"
"20.852","L12",4134,0,0,"LK",4,501,68,4,0,"20","625"
"20.853","L12",4136,1,0,"LK",4,519,54,1,0,"20","627"
"20.854","L12",4141,0,0,"LK",4,477,74,3,100,"20","632"
"20.855","L12",4499,0,0,"LK",4,435,70,1,100,"20","36"
"20.856","L12",4505,0,0,"LK",11,598,75,0,10,"20","42"
"20.857","L12",4506,0,0,"LK",4,570,78,4,50,"20","43"
"20.858","L12",4869,1,0,"LK",11,601,68,2.5,100,"20","406"
"20.859","L12",4871,1,0,"LK",16,451,66,5,75,"20","408"
"20.860","L12",4872,0,0,"LK",16,426,65,0,0,"20","409"
"20.861","L12",5227,1,0,"LK",11,455,49,3,100,"20","764"
"20.862","L12",5229,1,0,"LK",16,440,60,5,100,"20","766"
"20.863","L12",5235,0,0,"LK",4,440,60,2,100,"20","772"
"20.864","L12",5593,1,0,"LK",4,438,45,0,0,"20","1130"
"20.865","L12",5594,1,0,"LK",13,390,50,1,5,"20","1131"
"20.866","L12",5597,0,0,"LK",12,434,68,0,80,"20","1134"
"20.867","L12",5969,0,0,"LK",1,490,62,0,0,"20","29"
