Date,Year,DayOfYear,DaysAfterN,Day,PointName,Name Year,Name Year Run,AREA,Observer,Route ,TIME,Temp,Wind ,Cloud,Passive,PB,TotalBACS,BACS.PA
4/27/2011,2011,117,4500,1577,J21,J21 2011,J21 2011 2,0,16,JR,540,75,0,100,0,0,0,0
5/2/2011,2011,122,4505,1582,J21,J21 2011,J21 2011 3,0,4,JR,527,71,1,60,0,0,0,0
4/30/2012,2012,121,4869,1946,J21,J21 2012,J21 2012 1,0,4,JR,468,68,1,100,0,0,0,0
5/1/2012,2012,122,4870,1947,J21,J21 2012,J21 2012 2,0,11,JR,461,69,1.5,69,0,0,0,0
5/2/2012,2012,123,4871,1948,J21,J21 2012,J21 2012 3,0,6,JR,502,68,6,50,0,0,0,0
4/23/2013,2013,113,5227,2303,J21,J21 2013,J21 2013 1,0,10,JR,490,51,3,100,0,0,0,0
4/25/2013,2013,115,5229,2305,J21,J21 2013,J21 2013 2,0,11,JR,473,58,5,77,0,0,0,0
5/3/2013,2013,123,5237,2313,J21,J21 2013,J21 2013 3,0,16,JR,459,60,5,80,0,0,0,0
4/24/2014,2014,114,5593,2669,J21,J21 2014,J21 2014 1,0,13,JR,501,52,2,0,0,0,0,0
4/25/2014,2014,115,5594,2670,J21,J21 2014,J21 2014 2,0,12,JR,629,74,5,0,0,0,0,0
5/2/2014,2014,122,5601,2677,J21,J21 2014,J21 2014 3,0,16,JR,474,58,0,20,1,1,1,1
5/6/2015,2015,126,5970,3046,J21,J21 2015,J21 2015 1,0,1,JR,638,80,0,50,0,0,0,0
5/6/2015,2015,126,5970,3046,J21,J21 2015,J21 2015 2,0,16,JR,515,57,0,0,0,0,0,0
5/7/2015,2015,127,5971,3047,J21,J21 2015,J21 2015 3,0,1,JR,456,65,0,80,0,0,0,0
5/1/2007,2007,121,3043,121,J22,J22 2007,J22 2007 1,0,2,JR,658,80,2,0,0,0,0,0
5/7/2007,2007,127,3049,127,J22,J22 2007,J22 2007 2,0,2,JR,415,55,0,0,0,1,1,1
5/11/2007,2007,131,3053,131,J22,J22 2007,J22 2007 3,0,2,JR,634,75,2,25,0,0,0,0
4/21/2008,2008,112,3399,477,J22,J22 2008,J22 2008 1,0,9,JR,670,70,1,80,0,0,0,0
4/23/2008,2008,114,3401,479,J22,J22 2008,J22 2008 2,0,9,JR,465,60,3,90,0,0,0,0
4/29/2008,2008,120,3407,485,J22,J22 2008,J22 2008 3,0,9,JR,625,65,5,2,0,0,0,0
4/28/2009,2009,118,3771,848,J22,J22 2009,J22 2009 1,0,8,JR,658,82,2,0,0,0,0,0
4/30/2009,2009,120,3773,850,J22,J22 2009,J22 2009 2,0,8,JR,360,58,2,100,0,0,0,0
5/5/2009,2009,125,3778,855,J22,J22 2009,J22 2009 3,0,8,JR,364,61,0,100,0,0,0,0
5/1/2007,2007,121,3043,121,J23,J23 2007,J23 2007 1,0,2,JR,669,80,2,0,0,0,0,0
5/7/2007,2007,127,3049,127,J23,J23 2007,J23 2007 2,0,2,JR,396,55,0,0,1,0,1,1
5/11/2007,2007,131,3053,131,J23,J23 2007,J23 2007 3,0,2,JR,654,75,2,25,3,1,3,1
4/21/2008,2008,112,3399,477,J23,J23 2008,J23 2008 1,0,9,JR,680,70,3,60,0,1,1,1
4/23/2008,2008,114,3401,479,J23,J23 2008,J23 2008 2,0,9,JR,410,60,3,95,1,1,1,1
4/29/2008,2008,120,3407,485,J23,J23 2008,J23 2008 3,0,9,JR,635,65,5,2,0,0,0,0
4/28/2009,2009,118,3771,848,J23,J23 2009,J23 2009 1,0,8,JR,629,79,3,5,0,0,0,0
4/30/2009,2009,120,3773,850,J23,J23 2009,J23 2009 2,0,8,JR,390,58,2,100,0,0,0,0
5/6/2009,2009,126,3779,856,J23,J23 2009,J23 2009 3,0,8,JR,360,62,0,100,0,0,0,0
4/25/2011,2011,115,4498,1575,J23,J23 2011,J23 2011 1,0,11,JR,479,72,3,100,0,0,0,0
4/27/2011,2011,117,4500,1577,J23,J23 2011,J23 2011 2,0,16,JR,606,75,6,80,0,0,0,0
5/2/2011,2011,122,4505,1582,J23,J23 2011,J23 2011 3,0,4,JR,513,70,1,75,0,0,0,0
4/30/2012,2012,121,4869,1946,J23,J23 2012,J23 2012 1,0,4,JR,516,71,1,100,3,2,3,1
5/1/2012,2012,122,4870,1947,J23,J23 2012,J23 2012 2,0,11,JR,475,69,1.5,69,2,2,2,1
5/2/2012,2012,123,4871,1948,J23,J23 2012,J23 2012 3,0,6,JR,489,67,6,55,2,2,1,1
4/23/2013,2013,113,5227,2303,J23,J23 2013,J23 2013 1,0,10,JR,508,51,3,100,0,0,0,0
4/25/2013,2013,115,5229,2305,J23,J23 2013,J23 2013 2,0,11,JR,484,58,8,77,0,0,0,0
5/3/2013,2013,123,5237,2313,J23,J23 2013,J23 2013 3,0,16,JR,471,60,5,75,1,1,1,1
4/24/2014,2014,114,5593,2669,J23,J23 2014,J23 2014 1,0,13,JR,486,51,1,0,0,0,0,0
4/25/2014,2014,115,5594,2670,J23,J23 2014,J23 2014 2,0,12,JR,550,69,5,0,0,0,0,0
5/2/2014,2014,122,5601,2677,J23,J23 2014,J23 2014 3,0,16,JR,503,60,0,30,0,1,1,1
5/5/2015,2015,125,5969,3045,J23,J23 2015,J23 2015 1,0,5,JR,484,56,1,0,0,0,0,0
5/6/2015,2015,126,5970,3046,J23,J23 2015,J23 2015 2,0,16,JR,494,57,0,0,0,0,0,0
5/7/2015,2015,127,5971,3047,J23,J23 2015,J23 2015 3,0,1,JR,475,65,0,75,0,0,0,0
5/1/2007,2007,121,3043,121,J24,J24 2007,J24 2007 1,0,2,JR,694,80,5,0,3,2,3,1
5/7/2007,2007,127,3049,127,J24,J24 2007,J24 2007 2,0,2,JR,385,55,2,0,2,1,2,1
5/11/2007,2007,131,3053,131,J24,J24 2007,J24 2007 3,0,2,JR,679,75,0,30,2,1,2,1
