Name Year Run,TotalBACS
K15 2013 2,1
K15 2013 3,0
K15 2014 1,0
K15 2014 2,1
K15 2014 3,0
K15 2015 1,1
K15 2015 2,0
K16 2006 1,0
K16 2006 2,0
K16 2006 3,0
K16 2006 4,0
K16 2006 5,0
K16 2007 1,3
K16 2007 2,0
K16 2007 3,0
K16 2008 1,2
K16 2008 2,0
K16 2008 3,0
K16 2009 1,1
K16 2009 2,1
K16 2009 3,1
K16 2010 1,1
K16 2010 2,0
K16 2010 3,1
K17 2006 1,4
K17 2006 2,1
K17 2006 3,2
K17 2006 4,1
K17 2006 5,0
K17 2007 1,0
K17 2007 2,0
K17 2007 3,0
K17 2008 1,0
K17 2008 2,0
K17 2008 3,0
K17 2009 1,1
K17 2009 2,1
K17 2009 3,0
K17 2010 1,0
K17 2010 2,0
K17 2010 3,0
K17 2011 1,2
K17 2011 2,1
K17 2011 3,0
K17 2012 1,0
K17 2012 2,0
K17 2012 3,0
K17 2013 1,0
K17 2013 2,1
K17 2013 3,0
K17 2014 1,0
K17 2014 2,0
K17 2014 3,0
K17 2015 1,0
K17 2015 2,0
K18 2006 1,2
K18 2006 2,1
K18 2006 3,0
K18 2006 4,1
K18 2006 5,0
K18 2007 1,0
K18 2007 2,0
K18 2007 3,0
K18 2008 1,0
K18 2008 2,0
K18 2008 3,0
K18 2009 1,0
K18 2009 2,0
K18 2009 3,0
K18 2010 1,0
K18 2010 2,0
K18 2010 3,0
K18 2011 1,0
K18 2011 2,1
K18 2011 3,0
K18 2012 1,0
K18 2012 2,0
K18 2012 3,1
K18 2013 1,0
K18 2013 2,1
K18 2013 3,1
K18 2014 1,0
K18 2014 2,0
K18 2014 3,0
K18 2015 1,1
K18 2015 2,0
K19 2006 1,0
K19 2006 2,0
K19 2006 3,0
K19 2006 4,0
K19 2006 5,0
K19 2007 1,0
K19 2007 2,0
K19 2007 3,0
K19 2008 1,1
K19 2008 2,0
K19 2008 3,0
K19 2009 1,0
K19 2009 2,0
K19 2009 3,0
K19 2010 1,0
K19 2010 2,0
K19 2010 3,0
K2 2006 1,1
K2 2006 2,0
K2 2006 3,0
K2 2006 4,0
K2 2006 5,1
K2 2007 1,0
K2 2007 2,0
K2 2007 3,0
K2 2008 1,0
K2 2008 2,0
K2 2008 3,0
K2 2009 1,1
K2 2009 2,1
K2 2009 3,1
K2 2010 1,2
K2 2010 2,0
K2 2010 3,2
K2 2011 1,1
K2 2011 2,1
K2 2011 3,2
K2 2012 1,0
K2 2012 2,1
K2 2012 3,0
K2 2013 1,0
K2 2013 2,1
K2 2013 3,1
K2 2014 1,0
K2 2014 2,0
K2 2014 3,0
K2 2015 1,1
K2 2015 2,0
K20 2006 1,0
K20 2006 2,0
K20 2006 3,0
K20 2006 4,0
K20 2006 5,0
K20 2007 1,0
K20 2007 2,0
K20 2007 3,0
K20 2008 1,0
K20 2008 2,0
K20 2008 3,0
K20 2009 1,0
K20 2009 2,0
K20 2009 3,0
K20 2010 1,0
K20 2010 2,0
